0ad a24.b-2
alacritty 0.7.2-1
alsa-firmware 1.2.4-2
alsa-utils 1.2.4-2
android-studio 4.1.2.0-1
android-tools 30.0.5-1
aom 2.0.2-1
appeditor-git r80.41176cf-1
appstream 0.14.3-1
appstream-generator 0.8.4-1
archey3 0.5-11
archiso 51-1
aria2 1.35.0-2
atom 1.54.0-1
auracle-git r366.8739929-1
autoconf 2.71-1
autokey 0.95.10-1
automake 1.16.3-1
baobab 3.38.0-1
base 2-2
bash-completion 2.11-1
bc 1.07.1-4
binutils 2.36.1-2
bison 3.7.3-1
blender 17:2.92.0-1
celluloid 0.20-1
cheese 3.38.0-1
chrome-gnome-shell-git 10.1.r49.g766fcca-1
chromium 89.0.4389.82-2
clipgrab 3.9.6-1
code 1.53.2-1
cpupower 5.11-1
cpupower-gui 1.0.0-3
darktable 2:3.4.1-2
davinci-resolve 16.2.8-1
dconf-editor 3.38.2-1
deadbeef 1.8.4-1
deluge 2.0.4.dev38+g23a48dd01-3
deluge-gtk 2.0.4.dev38+g23a48dd01-3
devhelp 3.38.1-1
dhcpcd 9.4.0-1
diffmerge 4.2.0.697-1
dmapi 2.2.12-4
dmidecode 3.3-1
downgrade 9.0.0-1
dxvk-bin 1.8-1
eog 3.38.2-1
evince 3.38.2-1
evolution 3.38.4-1
evolution-ews 3.38.4-1
exa-git 0.9.0.r184.g39c8c67-2
fakeroot 1.25.3-2
file 5.39-1
file-roller 3.38.0-1
findutils 4.8.0-1
firefox 86.0-2
firewalld 0.9.3-1
flex 2.6.4-3
fluidsynth 2.1.7-1
fontconfig 2:2.13.91+48+gfcb0420-2
fonts-meta-extended-lt 4-1
freetype2 2.10.4-1
freetype2-demos 2.10.4-1
fwupd 1.5.7-1
gawk 5.1.0-1
gcc 10.2.0-6
gdb 10.1-4
gdm 3.38.2.1-1
gedit 3.38.1-1
gettext 0.21-1
gimp 2.10.22-2
git 2.30.1-1
glade 3.38.2-1
gmpc 11.8.16-6
gnome-alsamixer 0.9.7-4
gnome-backgrounds 3.38.0-1
gnome-books 3.34.0+21+g4d34d109-1
gnome-boxes 3.38.1-2
gnome-builder 3.38.2-2
gnome-calculator 3.38.2-1
gnome-calendar 3.38.2-1
gnome-characters 3.34.0+9+geeab5f2-1
gnome-clocks 3.38.0-1
gnome-code-assistance 2:3.16.1+14+gaad6437-1
gnome-color-manager 3.36.0-1
gnome-contacts 3.38.1-1
gnome-control-center 3.38.4-1
gnome-devel-docs 3.38.2-1
gnome-disk-utility 3.38.2-1
gnome-documents 3.34.0+6+g966b04ec-1
gnome-font-viewer 3.34.0+27+g5ffd1ba-1
gnome-games 3.38.0-1
gnome-getting-started-docs 3.38.1-1
gnome-initial-setup 3.38.1-1
gnome-keyring 1:3.36.0-3
gnome-logs 3.36.0-1
gnome-maps 3.38.4-1
gnome-menus 3.36.0-1
gnome-multi-writer 3.32.1-2
gnome-music 1:3.38.2-1
gnome-nettool 3.8.1+205+g8550eef-3
gnome-packagekit 3.32.0-2
gnome-photos 3.38.1-1
gnome-recipes 2.0.4-1
gnome-remote-desktop 0.1.9-1
gnome-screenshot 3.38.0-1
gnome-session 3.38.0+14+g87d92fec-1
gnome-settings-daemon 3.38.1-1
gnome-shell 1:3.38.3-1
gnome-shell-extension-dash-to-dock-git 69.r11.g7a2c87b-3
gnome-shell-extension-dash-to-panel-git 39.r0.g7d1c458-1
gnome-shell-extension-no-annoyance-git r34.f6e7691-1
gnome-shell-extensions 3.38.2-1
gnome-software 3.38.1-1
gnome-software-packagekit-plugin 3.38.1-1
gnome-sound-recorder 3.38.1-1
gnome-system-monitor 3.38.0-1
gnome-terminal 3.38.3-1
gnome-themes-extra 3.28-2
gnome-todo 3.28.1+33+gc03a4c1-1
gnome-tweaks 3.34.1-1
gnome-usage 3.38.0-2
gnome-user-docs 3.38.2-1
gnome-user-share 3.34.0-2
gnome-video-effects 0.5.0+4+g9554041-2
google-chrome 89.0.4389.72-1
